rp,condition,people_H4plus,people_H5plus,plots_H4plus,area_H4plus_ha
2,scheme,62,19,51,27.73
5,baseline,605,257,132,172.9
5,scheme,110,42,59,52.82
10,baseline,1832,920,299,347.16
10,scheme,212,81,70,81.59
25,baseline,2805,1891,419,455.91
25,scheme,303,139,79,101.28
50,baseline,3581,2738,519,535.4
50,scheme,378,201,88,120.97
100,baseline,4498,3563,644,608.5
100,scheme,432,274,99,139.61
200,baseline,5222,4526,715,658.02
200,scheme,510,309,113,162.49
500,baseline,5947,5439,806,705.67
500,scheme,967,577,166,295.58
1000,baseline,6203,5972,852,728.87
1000,scheme,1749,1208,262,391.81
10000,baseline,6512,6388,914,768.98
10000,scheme,4892,4339,755,657.36
