depth,Residential,Commercial,Industry,Agriculture,Roads
0.0,0.0,0.0,0.0,0.0,0.0
0.5,20.59496733,50.35933076,31.37206356,0.002373324,4.595712174
1.0,31.15831475,71.86314275,53.35544733,0.006504665,7.988699371
1.5,38.88540783,88.12279348,69.70756729,0.009212012,12.94325164
2.0,45.45319157,101.9570949,79.45898803,0.009809738,15.20908401
3.0,54.83861146,118.0628244,94.90613341,0.011602915,17.32544814
4.0,58.74617699,125.8824003,100.6560567,0.014661866,19.01318156
5.0,62.03304841,131.0821291,105.835273,0.017369213,20.76180003
6.0,63.06708703,133.6537093,110.7842882,0.017580175,21.43153551
